Name_Series,Category,Description_Series,Year,WORKS,WORKS copy,IS_SERIE
Excavating Echoes of time,PAINTING,,2022,"Excavating Echoes of time,Petrified feather,Garra de Aguila,Ala Petrificada,Unnamed record",,
Una jungla por descubrir,PRINTS,,2025,"Una jungla por descubrir I,Una jungla por descubrir II,Una jungla por descubrir III,Una jungla por descubrir IV","Una jungla por descubrir I, Una jungla por descubrir II, Una jungla por descubrir III, Una jungla por descubrir IV",checked
Fossilized Decay,PAINTING,,2023,"Fossilized Decay I,Fossilized Decay I,Fossilized Decay I",,checked
Palimpsest,PAINTING,,2022,"Echoed Maps I,Echoed Maps II,Echoed Maps III,Techno Massa","Echoed Maps I, Echoed Maps II, Echoed Maps III",checked
Weathered,PRINTS,,2016,Weathered I,Weathered I,
Flower Islands,PAINTING,,2022,Flower Island I,,
Aguantamos,"PAINTING,SCULPTURE",,2019,"Petroleum Bloom,Aguantamos I",Petroleum Bloom,
